Date,Not_Profitable,Insufficient_Materials,Insufficient_Orders,Insufficient_Labor,Insufficient_Energy,Equipment_Limits,Storage_Limits,Logistics_Constraints,Sufficient_Inventory,Strike,Seasonal_Operation,Environmental_Restrictions,Other
4/1/2022,6.5,54.8,50.8,38.9,0,10.7,1.4,14.3,3,0,0,0,13.3
1/1/2022,0.9,47.6,43.9,43.5,0,5.5,0,14.6,0,0,2.5,0,21.9
10/1/2021,0.6,52.9,49.8,41,0,3.4,0,16.8,4.7,0,0,0,16.8
7/1/2021,2.6,51.9,45.5,46.7,0,3.3,0,8.8,2.6,0,0,0,19.8
4/1/2021,6.5,45.3,50,35.8,0,7.4,5.9,4.8,2.6,0,0,0,23.4
1/1/2021,15.3,27.3,46,31.4,0,4.7,3,6.9,0.4,0,0,0,29.1
10/1/2020,6.5,20.9,45.3,30.6,0,6.6,7.6,5.7,1.8,0,0.7,0,33.4
7/1/2020,9.9,17.5,58.9,23.4,0,7.6,5.5,5.1,2.7,0,0,0.2,33.4
4/1/2020,0.9,10,57.1,23.1,0,0.5,0,2.1,2.2,2,1.7,0,53.8
1/1/2020,10.1,5.3,72.3,28.6,0,7.3,4.5,7,3.5,2.6,0.6,1,34.7
10/1/2019,7,6.7,68.8,30.1,0,7.4,0,0,7.4,2.8,9.3,0,10.5
7/1/2019,13.4,2,67.8,42.6,0,23.8,0,3.5,1.2,1.6,0.3,0,7.5
4/1/2019,8,11.4,65.3,36,0,19.5,1,1.1,3.9,0,1.3,9.2,6.5
1/1/2019,16.8,14.2,62,38.1,0,17,6.8,0.6,0.6,0,3.2,0,4
10/1/2018,15.4,16.0,64.8,29.6,0.0,14.4,4.4,1.4,7.4,0.0,1.7,0.0,4.1
7/1/2018,10.4,16.7,61.2,43.1,0.0,20.1,1.9,1.2,5.2,0.0,6.7,0.0,6.9
4/1/2018,8.8,13.7,66.4,45.7,0.0,15.6,1.8,4.1,3.8,0.0,3.5,0.0,6
1/1/2018,15.4,16.0,64.8,29.6,0.0,14.4,4.4,1.4,7.4,0.0,1.7,0.0,4.1
