DATE,PI,PCE
1959-01-01,391.8,306.1
1959-02-01,393.7,309.6
1959-03-01,396.5,312.7
1959-04-01,399.9,312.2
1959-05-01,402.4,316.1
1959-06-01,404.8,318.2
1959-07-01,405.4,317.8
1959-08-01,403.7,320.2
1959-09-01,405.1,324.2
1959-10-01,406.6,322.8
1959-11-01,409.9,322.9
1959-12-01,414.6,322.9
1960-01-01,415.7,323.6
1960-02-01,416.6,325.3
1960-03-01,417.6,330.2
1960-04-01,420.6,336.5
1960-05-01,422.1,330.0
1960-06-01,422.6,330.1
1960-07-01,424.1,331.4
1960-08-01,424.1,331.6
1960-09-01,424.9,333.4
1960-10-01,426.7,335.4
1960-11-01,426.3,335.4
1960-12-01,424.4,331.3
1961-01-01,428.3,332.2
1961-02-01,430.3,333.7
1961-03-01,431.9,337.7
1961-04-01,432.5,337.6
1961-05-01,436.1,339.9
1961-06-01,440.5,340.9
1961-07-01,442.7,340.6
1961-08-01,443.3,342.1
1961-09-01,444.3,344.4
1961-10-01,448.7,346.5
1961-11-01,452.7,349.9
1961-12-01,455.6,352.4
1962-01-01,456.0,353.2
1962-02-01,459.1,354.0
1962-03-01,462.9,357.4
1962-04-01,465.8,359.0
1962-05-01,466.8,362.0
1962-06-01,467.7,360.4
1962-07-01,469.7,361.4
1962-08-01,471.1,362.9
1962-09-01,473.7,368.8
1962-10-01,475.7,366.5
1962-11-01,477.8,371.7
1962-12-01,479.8,373.6
1963-01-01,484.0,374.4
1963-02-01,481.9,373.4
1963-03-01,483.7,375.0
1963-04-01,485.0,376.4
1963-05-01,487.9,377.2
1963-06-01,491.3,381.7
1963-07-01,492.5,384.4
1963-08-01,494.9,386.3
1963-09-01,498.2,385.5
1963-10-01,501.9,386.0
1963-11-01,503.6,389.4
1963-12-01,508.4,394.7
1964-01-01,511.3,396.8
1964-02-01,514.1,400.2
1964-03-01,517.0,401.8
1964-04-01,520.6,402.8
1964-05-01,523.8,408.4
1964-06-01,526.3,411.4
1964-07-01,529.9,414.9
1964-08-01,533.3,417.7
1964-09-01,536.3,416.6
1964-10-01,536.9,419.6
1964-11-01,541.3,416.4
1964-12-01,547.5,421.0
1965-01-01,551.5,424.4
1965-02-01,552.0,431.4
1965-03-01,555.4,433.3
1965-04-01,558.6,437.1
1965-05-01,562.9,437.6
1965-06-01,566.2,435.2
1965-07-01,570.4,441.0
1965-08-01,572.9,444.4
1965-09-01,587.2,452.0
1965-10-01,584.9,458.5
1965-11-01,590.2,459.1
1965-12-01,595.5,461.7
1966-01-01,597.7,465.2
1966-02-01,603.1,470.2
1966-03-01,607.9,475.0
1966-04-01,609.5,476.9
1966-05-01,612.2,473.1
1966-06-01,616.7,475.5
1966-07-01,620.4,480.6
1966-08-01,625.9,483.2
1966-09-01,631.7,489.2
1966-10-01,636.0,488.3
1966-11-01,640.9,490.1
1966-12-01,642.0,491.8
1967-01-01,648.0,494.2
1967-02-01,649.6,493.0
1967-03-01,653.9,495.8
1967-04-01,654.4,501.3
1967-05-01,656.9,502.2
1967-06-01,661.6,506.8
1967-07-01,667.2,506.7
1967-08-01,672.5,509.8
1967-09-01,675.0,515.6
1967-10-01,677.8,512.2
1967-11-01,684.4,517.4
1967-12-01,687.4,525.1
1968-01-01,694.3,530.9
1968-02-01,702.5,533.6
1968-03-01,710.8,544.3
1968-04-01,716.2,544.0
1968-05-01,722.6,549.8
1968-06-01,728.3,556.3
1968-07-01,735.0,563.2
1968-08-01,741.4,567.0
1968-09-01,747.4,568.2
1968-10-01,752.0,571.6
1968-11-01,758.0,576.7
1968-12-01,762.6,576.5
1969-01-01,766.3,583.5
1969-02-01,771.8,588.7
1969-03-01,779.0,588.9
1969-04-01,784.3,593.9
1969-05-01,790.5,600.3
1969-06-01,797.1,600.9
1969-07-01,805.0,602.7
1969-08-01,812.2,609.9
1969-09-01,817.7,613.2
1969-10-01,822.0,618.5
1969-11-01,826.4,620.5
1969-12-01,831.9,622.8
1970-01-01,836.4,628.7
1970-02-01,841.8,634.0
1970-03-01,847.1,632.3
1970-04-01,859.9,636.0
1970-05-01,857.7,642.4
1970-06-01,862.6,646.3
1970-07-01,870.6,648.5
